currency,code,mid
bat (Tajlandia),THB,0.1128
dolar amerykański,USD,3.856
dolar australijski,AUD,2.3932
dolar Hongkongu,HKD,0.496
dolar kanadyjski,CAD,2.7287
dolar nowozelandzki,NZD,2.1943
dolar singapurski,SGD,2.8859
euro,EUR,4.2403
forint (Węgry),HUF,0.010474
frank szwajcarski,CHF,4.5069
funt szterling,GBP,5.0063
hrywna (Ukraina),UAH,0.0935
jen (Japonia),JPY,0.026336
korona czeska,CZK,0.1689
korona duńska,DKK,0.5683
korona islandzka,ISK,0.029385
korona norweska,NOK,0.3668
korona szwedzka,SEK,0.3886
lej rumuński,RON,0.8518
lew (Bułgaria),BGN,2.168
lira turecka,TRY,0.1013
nowy izraelski szekel,ILS,1.0365
peso chilijskie,CLP,0.004061
peso filipińskie,PHP,0.0678
peso meksykańskie,MXN,0.1918
rand (Republika Południowej Afryki),ZAR,0.2023
real (Brazylia),BRL,0.6846
ringgit (Malezja),MYR,0.8695
rupia indonezyjska,IDR,0.00023285
rupia indyjska,INR,0.045205
won południowokoreański,KRW,0.002671
yuan renminbi (Chiny),CNY,0.5294
SDR (MFW),XDR,5.1191
złoty polski,PLN,1
